,date,open,high,low,close,volume,tic,macd,rsi_30,cci_30,dx_30,turbulence
0,2019-01-02,38.72249984741211,39.712501525878906,38.557498931884766,38.56256103515625,148158800.0,AAPL,-2.019903016628902,37.86734896594068,-91.5678515391242,42.250808130450245,119.82016111544408
0,2019-01-02,93.91000366210938,96.2699966430664,93.7699966430664,92.643310546875,4175400.0,AXP,-3.426007909603925,41.20498171539124,-97.74226920646419,26.70941690785822,119.82016111544408
0,2019-01-02,316.19000244140625,323.95001220703125,313.7099914550781,314.6451416015625,3292200.0,BA,-5.5505923876932,47.00999953436049,-21.712381855098382,13.611971735226408,119.82016111544408
0,2019-01-02,124.02999877929688,127.87999725341797,123.0,119.30258178710938,4783200.0,CAT,-0.6867588016189501,48.22908858917072,-5.091208868625367,0.8734820911322534,119.82016111544408
0,2019-01-02,42.279998779296875,43.20000076293945,42.209999084472656,40.38209915161133,23833500.0,CSCO,-0.9600606444437005,44.87255680178649,-87.49685031106554,29.52937670833383,119.82016111544408
0,2019-01-02,107.33999633789062,111.68000030517578,107.0999984741211,100.66447448730469,6384800.0,CVX,-1.9387758745666446,46.46915572094859,-58.719965967264194,12.402189501116395,119.82016111544408
0,2019-01-02,74.70742797851562,78.18020629882812,74.45124053955078,73.61714172363281,8263200.0,DD,-1.1725666092847575,46.83727583928085,-24.19430858231519,6.143792229551683,119.82016111544408
0,2019-01-02,108.0999984741211,109.13999938964844,107.7300033569336,107.65434265136719,9723500.0,DIS,-1.651912931269365,47.045441735448065,-60.25798570773234,13.997383580478873,119.82016111544408
0,2019-01-02,164.3300018310547,172.25,163.35000610351562,164.5909881591797,3999400.0,GS,-8.128045216423601,38.91652961426641,-62.12372047918688,15.4057861228812,119.82016111544408
0,2019-01-02,169.7100067138672,173.17999267578125,169.0500030517578,163.9701385498047,4242900.0,HD,-1.8110175855792647,46.559983865120174,0.5808032734065607,2.3417145518652838,119.82016111544408
0,2019-01-02,112.01000213623047,115.9800033569336,111.69000244140625,104.4588851928711,4239900.0,IBM,-2.320803866372927,42.6556592675766,-75.74629305908131,19.74643614909165,119.82016111544408
0,2019-01-02,45.959999084472656,47.470001220703125,45.77000045776367,44.81959533691406,18774600.0,INTC,-0.26037834836174056,50.19544708393484,-37.47079144240432,9.423171192104844,119.82016111544408
0,2019-01-02,128.1300048828125,128.3800048828125,126.27999877929688,120.95918273925781,7631700.0,JNJ,-4.03813528450668,40.13626335608072,-90.8782144272459,41.06731684022473,119.82016111544408
0,2019-01-02,95.94999694824219,99.77999877929688,95.94000244140625,92.92854309082031,15670900.0,JPM,-2.5997881978127992,43.02886999350642,-61.12018964033104,16.147417919469266,119.82016111544408
0,2019-01-02,46.939998626708984,47.220001220703125,46.560001373291016,43.98349380493164,11603700.0,KO,-0.40826762544746487,46.81192837776045,-133.80187612392737,18.244360423779344,119.82016111544408
0,2019-01-02,175.41000366210938,176.3000030517578,174.1699981689453,167.72645568847656,2571500.0,MCD,-1.5686841879676194,49.427579481514094,-103.7814352656522,24.257938347578243,119.82016111544408
0,2019-01-02,187.82000732421875,190.99000549316406,186.6999969482422,178.0944366455078,2475200.0,MMM,-2.797050247392491,46.251462053222845,-83.2587414276831,19.162427047459893,119.82016111544408
0,2019-01-02,75.29000091552734,75.98999786376953,74.5999984741211,71.3208999633789,14427600.0,MRK,0.003967338620455507,53.95672260019928,-21.33239053695019,8.820546903606887,119.82016111544408
0,2019-01-02,99.55000305175781,101.75,98.94000244140625,98.60206604003906,35329300.0,MSFT,-1.908754949503745,45.76924349563837,-81.40218963565498,21.61185178343262,119.82016111544408
0,2019-01-02,72.79000091552734,74.63999938964844,72.19000244140625,72.59208679199219,6762700.0,NKE,-0.30459376348011347,49.67024296714665,33.10698779906954,14.156233083111266,119.82016111544408
